subject_id,session_id,condition_label,task_label,network_label,n_timepoints,m_mean,m_std,m_median,m_iqr,m_mad,d_mean,d_std,d_median,d_iqr,d_mad,e_mean,e_std,e_median,e_iqr,e_mad,trace_mean,trace_std,frobenius_mean,rotation_norm_mean,anisotropy_mean,strat9_condition_number,strat9_pc1_var,strat9_pc2_var,strat9_pc3_var,strat9_pc1_3_cumulative_var,strat9_falsified
sub-067,,rest,Rest,central,43,-0.2695993483066559,0.872028648853302,-0.09178045392036438,0.9963081926107407,0.48064756393432617,0.6903845071792603,1.0862845182418823,0.3128012716770172,1.504856862127781,0.5488518476486206,-0.03348543867468834,0.5086989402770996,-0.08115622401237488,0.5379214882850647,0.27834364771842957,-0.29873913526535034,0.3545996844768524,1.0250855684280396,0.6981086730957031,32.418264850972456,37.8232733015107,0.46663528417705247,0.3074166719798988,0.10866779578899988,0.8827197519459511,0.0
sub-067,,rest,Rest,parietal_occipital,43,-0.3163536787033081,0.7951660752296448,-0.10122519731521606,0.7767956033349037,0.3794267475605011,0.5891314744949341,0.9666236639022827,0.38114169239997864,1.302232589572668,0.6157189607620239,0.05144302919507027,0.7954838871955872,0.14381511509418488,1.1284331530332565,0.5679797530174255,0.012397312559187412,0.571440577507019,0.822453498840332,0.426472544670105,50.07505977588544,34.33025952981005,0.4447585926867596,0.32538824040097347,0.16968559596200827,0.9398324290497413,1.0
sub-067,,rest,Rest,temporal,43,-0.08876404911279678,0.7442481517791748,0.019247151911258698,0.6766377538442612,0.352109432220459,0.398075133562088,0.9996100068092346,0.12840425968170166,0.7752153798937798,0.3131205141544342,0.23224449157714844,0.5928049683570862,0.1795114427804947,0.6929977312684059,0.3401139974594116,-0.35107359290122986,0.4554288685321808,0.8376744985580444,0.5058371424674988,29.913196501842567,61.72755564649744,0.576836820131,0.20928384968264416,0.1308775879983751,0.9169982578120193,1.0
sub-068,,rest,Rest,frontal,33,0.04464799165725708,0.5570768713951111,0.05192616209387779,0.5225167125463486,0.2649150788784027,0.45241978764533997,0.8535650372505188,0.28176480531692505,0.9088249951601028,0.49920541048049927,-0.26744401454925537,0.6247127652168274,-0.00025903809000737965,1.089564025402069,0.3811432421207428,-0.020931141451001167,0.4231484532356262,0.9194352626800537,0.6763399243354797,41.675722058074555,35.468466943191764,0.40573929823875254,0.35227621106819357,0.11197270350740654,0.8699882128143526,0.0
sub-068,,rest,Rest,central,33,0.108936607837677,0.7535800337791443,0.13197863101959229,0.7932400703430176,0.3986091613769531,0.48150643706321716,1.0846980810165405,0.17635901272296906,0.8846648260951042,0.4165651202201843,0.052835218608379364,0.46244195103645325,0.013927346095442772,0.6983526647090912,0.322967529296875,0.045378368347883224,0.3110229969024658,0.63588547706604,0.43839240074157715,47.0828170309949,70.86754022024184,0.46475219103822,0.24796370546720822,0.16921632405977718,0.8819322205652054,0.0
sub-068,,rest,Rest,parietal_occipital,33,0.07101064920425415,0.5625584125518799,0.055690813809633255,0.6815842390060425,0.35643500089645386,0.43176499009132385,0.8644024729728699,0.26691120862960815,1.1171837747097015,0.5608758926391602,0.09169884771108627,0.6168991923332214,0.10056810081005096,0.7058871984481812,0.40180307626724243,0.014874960295855999,0.4019060730934143,0.7074264287948608,0.48203402757644653,21.39957884649102,65.0300177195793,0.4440403780248292,0.3217660969456339,0.13902161254487108,0.9048280875153343,1.0
sub-068,,rest,Rest,temporal,33,0.08698977530002594,0.5342519283294678,0.11165139824151993,0.6016166359186172,0.3003789186477661,0.49237060546875,0.8021974563598633,0.3846978545188904,1.07997165620327,0.573270857334137,0.09803851693868637,0.6895296573638916,0.1931827813386917,0.8431872725486755,0.3345365524291992,0.1293218433856964,0.3955269753932953,0.8355146050453186,0.540421187877655,27.490455214647564,33.51393269472522,0.3992036502802187,0.2528751983774332,0.18305847708606346,0.8351373257437154,0.0
sub-069,,rest,Rest,frontal,49,0.006428651511669159,0.37047940492630005,-0.08098842203617096,0.4188327342271805,0.1939925104379654,0.34336918592453003,0.7259859442710876,0.1463475227355957,0.9074487239122391,0.319701224565506,0.33880114555358887,0.9295295476913452,0.03428761288523674,1.1867934465408325,0.5579953789710999,-0.08722840249538422,0.31145820021629333,0.588867723941803,0.39326074719429016,42.227733062403495,63.39076645101044,0.7023090076011641,0.14048365353397352,0.07417552362028408,0.9169681847554217,1.0
sub-069,,rest,Rest,central,49,-0.0937352180480957,0.4921976923942566,-0.1093459203839302,0.5285996496677399,0.26750802993774414,0.22161737084388733,0.9185976386070251,0.0979815348982811,0.8341293334960938,0.4414866268634796,0.17580673098564148,0.7075830101966858,0.0681348666548729,1.1004389226436615,0.47389841079711914,-0.08281555771827698,0.16412855684757233,0.4944970905780792,0.3050801455974579,45.23265536264941,36.9192674006589,0.5330315540156562,0.24128214100659046,0.13375706891486128,0.908070763937108,1.0
sub-069,,rest,Rest,parietal_occipital,49,-0.1724182367324829,0.4394534230232239,-0.29505637288093567,0.61500533670187,0.3448074758052826,0.10020070523023605,0.5759161710739136,0.008009823970496655,0.8609790205955505,0.42857107520103455,0.08617115765810013,0.8204389214515686,-0.059450943022966385,1.222574532032013,0.5294852256774902,-0.14062181115150452,0.22677624225616455,0.45852091908454895,0.28477486968040466,27.676941192721962,57.65581523206754,0.6006158017402751,0.2013164031682318,0.10744473857757293,0.9093769434860799,1.0
