subject_id,session_id,condition_label,task_label,network_label,source_block,target_block,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
sub-004,,rest,Rest,parietal_occipital,m,e,44,,1.552976369857788,,0.9869809374213219,0.9922871784794898
sub-004,,rest,Rest,parietal_occipital,d,m,44,,0.7721763849258423,,1.3462483677126111,1.4410846027589979
sub-004,,rest,Rest,parietal_occipital,d,d,44,-0.23371222615242004,1.224532961845398,73.57978937739418,,
sub-004,,rest,Rest,parietal_occipital,d,e,44,,0.8929934501647949,,1.094862671835082,1.0011599535743396
sub-004,,rest,Rest,parietal_occipital,e,m,44,,0.9552723169326782,,0.9869809374213219,0.9922871784794898
sub-004,,rest,Rest,parietal_occipital,e,d,44,,1.8052048683166504,,1.094862671835082,1.0011599535743396
sub-004,,rest,Rest,parietal_occipital,e,e,44,0.11808902025222778,1.0097672939300537,,,
sub-004,,rest,Rest,temporal,m,m,44,0.0014803452650085092,0.5949047803878784,32.025602107956296,,
sub-004,,rest,Rest,temporal,m,d,44,,1.564723014831543,,0.8698216265156156,0.9250076760848364
sub-004,,rest,Rest,temporal,m,e,44,,0.6676951050758362,,0.5103610635158562,0.5904098245359602
sub-004,,rest,Rest,temporal,d,m,44,,0.6428288817405701,,0.8698216265156156,0.9250076760848364
sub-004,,rest,Rest,temporal,d,d,44,-0.08242546021938324,0.744122326374054,99.51295171465192,,
sub-004,,rest,Rest,temporal,d,e,44,,0.48318400979042053,,0.5324286580795333,0.5294627029271353
sub-004,,rest,Rest,temporal,e,m,44,,0.7734000086784363,,0.5103610635158562,0.5904098245359602
sub-004,,rest,Rest,temporal,e,d,44,,0.9115945100784302,,0.5324286580795333,0.5294627029271353
sub-004,,rest,Rest,temporal,e,e,44,-0.007166490890085697,0.4709318280220032,,,
sub-005,,rest,Rest,frontal,m,m,55,-0.0973547175526619,0.8665167093276978,49.03042948920772,,
sub-005,,rest,Rest,frontal,m,d,55,,1.40333092212677,,0.8236226979291664,0.8027073229258915
sub-005,,rest,Rest,frontal,m,e,55,,1.2073265314102173,,0.6610648525211046,0.7519923965885954
sub-005,,rest,Rest,frontal,d,m,55,,0.685470700263977,,0.8236226979291664,0.8027073229258915
sub-005,,rest,Rest,frontal,d,d,55,-0.03199511766433716,0.9740935564041138,35.54045212943599,,
sub-005,,rest,Rest,frontal,d,e,55,,1.0474071502685547,,0.666968083044268,0.7965146106369091
sub-005,,rest,Rest,frontal,e,m,55,,0.6679285168647766,,0.6610648525211046,0.7519923965885954
sub-005,,rest,Rest,frontal,e,d,55,,0.9719232320785522,,0.666968083044268,0.7965146106369091
sub-005,,rest,Rest,frontal,e,e,55,0.008951535448431969,0.8188868761062622,71.98726368175363,,
sub-005,,rest,Rest,central,m,m,55,-0.09358153492212296,1.0626955032348633,105.89759999401164,,
sub-005,,rest,Rest,central,m,d,55,,1.5882885456085205,,0.8762394122357638,0.8729673995161956
sub-005,,rest,Rest,central,m,e,55,,1.6111456155776978,,0.8264690260842161,0.8746436007742612
sub-005,,rest,Rest,central,d,m,55,,0.6396023631095886,,0.8762394122357638,0.8729673995161956
sub-005,,rest,Rest,central,d,d,55,0.0023293201811611652,0.8666533827781677,57.43838800124402,,
sub-005,,rest,Rest,central,d,e,55,,1.0232517719268799,,0.6096517007868245,0.6868098074535154
sub-005,,rest,Rest,central,e,m,55,,0.4793500006198883,,0.8264690260842161,0.8746436007742612
sub-005,,rest,Rest,central,e,d,55,,0.7214200496673584,,0.6096517007868245,0.6868098074535154
sub-005,,rest,Rest,central,e,e,55,0.03371299430727959,0.6857244372367859,73.94476297666442,,
sub-005,,rest,Rest,parietal_occipital,m,m,55,-0.15848331153392792,1.0841835737228394,49.322917740300014,,
sub-005,,rest,Rest,parietal_occipital,m,d,55,,1.5554836988449097,,1.0069356369522382,0.8915499277272314
sub-005,,rest,Rest,parietal_occipital,m,e,55,,1.7726058959960938,,0.9419618142101,1.0253732733006746
sub-005,,rest,Rest,parietal_occipital,d,m,55,,1.0391159057617188,,1.0069356369522382,0.8915499277272314
sub-005,,rest,Rest,parietal_occipital,d,d,55,-0.5230329036712646,1.3364957571029663,249.65978803274766,,
